Date,Ticker,Close,Volume,Fraud_Label
2024-03-14,FAKECO,90.82,105876,1
2024-03-15,FAKECO,92.17,11987,0
2024-03-16,FAKECO,91.43,12735,0
2024-03-17,FAKECO,93.7,12555,0
2024-03-18,FAKECO,93.85,9693,0
2024-03-19,FAKECO,94.76,11436,0
2024-03-20,FAKECO,94.73,12893,0
2024-03-21,FAKECO,94.36,8959,0
2024-03-22,FAKECO,94.86,12642,0
2024-03-23,FAKECO,94.85,8016,0
2024-03-24,FAKECO,95.04,10565,0
2024-03-25,FAKECO,94.91,13864,0
2024-03-26,FAKECO,95.26,8606,0
2024-03-27,FAKECO,95.04,13088,0
2024-03-28,FAKECO,94.56,9184,0
2024-03-29,FAKECO,93.22,8127,0
2024-03-30,FAKECO,91.6,13442,0
2024-03-31,FAKECO,92.24,11863,0
2024-04-01,FAKECO,91.15,8154,0
2024-04-02,FAKECO,92.03,12057,0
2024-04-03,FAKECO,93.09,13596,0
2024-04-04,FAKECO,93.4,8537,0
2024-04-05,FAKECO,83.66,84780,1
2024-04-06,FAKECO,83.49,10368,0
2024-04-07,FAKECO,82.8,14002,0
2024-04-08,FAKECO,81.24,13211,0
2024-04-09,FAKECO,83.24,12146,0
2024-04-10,FAKECO,92.83,109749,1
2024-04-11,FAKECO,93.43,10491,0
2024-04-12,FAKECO,92.71,14407,0
2024-04-13,FAKECO,93.39,13315,0
2024-04-14,FAKECO,95.78,8991,0
2024-04-15,FAKECO,97.62,14799,0
2024-04-16,FAKECO,96.31,8635,0
2024-04-17,FAKECO,84.32,88308,1
2024-04-18,FAKECO,86.1,10838,0
2024-04-19,FAKECO,85.43,12729,0
2024-04-20,FAKECO,85.11,10849,0
2024-04-21,FAKECO,84.9,12992,0
2024-04-22,FAKECO,84.12,12070,0
2024-04-23,FAKECO,86.04,11147,0
2024-04-24,FAKECO,85.8,11506,0
2024-04-25,FAKECO,87.67,10479,0
2024-04-26,FAKECO,87.42,9635,0
2024-04-27,FAKECO,86.17,14665,0
2024-04-28,FAKECO,86.18,10849,0
2024-04-29,FAKECO,86.93,12611,0
2024-04-30,FAKECO,86.73,8335,0
2024-05-01,FAKECO,86.79,11546,0
2024-05-02,FAKECO,88.38,9931,0
2024-05-03,FAKECO,87.14,10738,0
2024-05-04,FAKECO,87.58,13387,0
2024-05-05,FAKECO,87.47,12380,0
2024-05-06,FAKECO,87.05,13726,0
2024-05-07,FAKECO,86.94,10774,0
2024-05-08,FAKECO,88.49,8775,0
2024-05-09,FAKECO,87.51,8114,0
2024-05-10,FAKECO,86.47,11267,0
2024-05-11,FAKECO,87.8,8728,0
2024-05-12,FAKECO,85.58,10808,0
2024-05-13,FAKECO,86.97,10786,0
2024-05-14,FAKECO,86.6,12079,0
2024-05-15,FAKECO,86.05,14806,0
2024-05-16,FAKECO,86.82,12132,0
2024-05-17,FAKECO,85.71,10914,0
2024-05-18,FAKECO,85.38,13392,0
2024-05-19,FAKECO,88.63,12492,0
2024-05-20,FAKECO,88.22,14320,0
2024-05-21,FAKECO,89.21,10782,0
2024-05-22,FAKECO,88.35,12946,0
2024-05-23,FAKECO,88.34,12491,0
2024-05-24,FAKECO,88.0,10938,0
2024-05-25,FAKECO,88.25,13305,0
2024-05-26,FAKECO,90.06,11294,0
2024-05-27,FAKECO,90.47,8953,0
2024-05-28,FAKECO,90.21,11324,0
2024-05-29,FAKECO,91.39,13512,0
2024-05-30,FAKECO,91.43,10681,0
2024-05-31,FAKECO,90.26,11719,0
2024-06-01,FAKECO,89.94,9856,0
2024-06-02,FAKECO,90.4,9324,0
2024-06-03,FAKECO,90.24,11141,0
2024-06-04,FAKECO,92.1,10214,0
2024-06-05,FAKECO,91.37,13977,0
2024-06-06,FAKECO,89.5,12849,0
2024-06-07,FAKECO,90.35,9081,0
2024-06-08,FAKECO,91.12,9958,0
2024-06-09,FAKECO,90.58,9996,0
2024-06-10,FAKECO,89.16,8823,0
2024-06-11,FAKECO,89.23,13236,0
2024-06-12,FAKECO,90.21,13348,0
2024-06-13,FAKECO,90.23,13778,0
2024-06-14,FAKECO,90.73,13645,0
2024-06-15,FAKECO,91.93,11584,0
2024-06-16,FAKECO,93.75,13131,0
2024-06-17,FAKECO,93.64,10831,0
2024-06-18,FAKECO,94.61,13127,0
2024-06-19,FAKECO,92.49,14819,0
2024-06-20,FAKECO,91.96,10779,0
2024-06-21,FAKECO,90.05,12835,0
2024-06-22,FAKECO,90.41,10779,0
2024-06-23,FAKECO,89.09,10956,0
2024-06-24,FAKECO,90.93,12972,0
2024-06-25,FAKECO,92.11,9015,0
2024-06-26,FAKECO,91.64,14320,0
2024-06-27,FAKECO,92.79,12158,0
2024-06-28,FAKECO,92.41,12000,0
2024-06-29,FAKECO,92.31,8510,0
2024-06-30,FAKECO,92.25,10000,0
2024-07-01,FAKECO,92.26,9668,0
2024-07-02,FAKECO,92.3,10724,0
2024-07-03,FAKECO,91.99,12178,0
2024-07-04,FAKECO,90.39,12146,0
2024-07-05,FAKECO,100.73,87239,1
2024-07-06,FAKECO,101.22,14297,0
2024-07-07,FAKECO,101.34,12533,0
2024-07-08,FAKECO,102.89,9077,0
2024-07-09,FAKECO,102.64,11037,0
2024-07-10,FAKECO,103.61,11374,0
2024-07-11,FAKECO,105.1,9252,0
2024-07-12,FAKECO,105.98,12859,0
2024-07-13,FAKECO,104.25,9329,0
2024-07-14,FAKECO,105.69,12542,0
2024-07-15,FAKECO,107.19,12344,0
2024-07-16,FAKECO,107.27,12854,0
2024-07-17,FAKECO,107.25,10128,0
2024-07-18,FAKECO,118.05,87941,1
